session_id,user_id,product_id,dwell_time_seconds,scroll_depth_pct,variant_clicks,reviews_expanded,added_to_cart,purchased,category,base_price,image_count,description_word_count,variant_count,has_size_chart,rating,review_count,PRI,VRS,SPI,EDI
S-10000,U-1000,P-1423,99,0.24,5,1,0,0,Home & Living,466.13,1,74,11,0,3.3,427,1.9635620708538692,0.13999999999999999,3.9990213090839855,4.125
S-10001,U-1001,P-1369,239,0.83,8,1,0,0,Watch,620.62,7,370,1,1,3.5,213,1.1293856456543894,1.0,3.7561832105152955,2.8795180722891565
S-10002,U-1002,P-1057,38,0.21,6,1,1,1,Electronics,970.68,3,436,5,0,2.5,1191,0.8754486913544617,0.42,3.5416939238126477,1.8095238095238095
S-10003,U-1003,P-1063,291,0.96,1,0,0,0,Watch,763.33,1,364,9,0,4.6,61,1.3890850196535158,0.13999999999999999,3.796963634241484,3.03125
S-10004,U-1004,P-1349,76,0.91,6,0,0,0,Shoes,59.31,5,172,4,0,2.4,942,0.26426948268948003,0.7,3.2875518156640595,0.8351648351648352
S-10005,U-1005,P-1996,145,0.17,1,1,0,0,Home & Living,112.96,7,231,12,0,1.1,976,0.47584144235224735,0.7,1.5145870634494123,8.529411764705882
S-10006,U-1006,P-1026,275,0.9,9,0,0,0,Watch,536.49,3,157,7,1,4.8,550,0.9762883971466008,0.72,6.059265416786798,3.0555555555555554
S-10007,U-1007,P-1464,189,0.41,2,0,0,0,Home & Living,182.99,7,336,10,1,2.6,461,0.7708412317283796,1.0,3.190493743362504,4.609756097560975
S-10008,U-1008,P-1980,83,0.38,2,1,0,0,T-shirt,100.37,6,292,4,1,1.8,436,0.4507567251987246,1.0,2.188775950234412,2.1842105263157894
S-10009,U-1009,P-1365,299,0.56,4,1,0,0,Home & Living,267.37,1,333,3,1,1.3,479,1.1262900711908674,0.43999999999999995,1.6051843870145035,5.3392857142857135
S-10010,U-1010,P-1043,112,0.93,3,1,0,0,Shoes,12.54,4,182,4,1,1.3,399,0.05587488303702713,0.8599999999999999,1.5577807822480754,1.2043010752688172
S-10011,U-1011,P-1725,258,0.54,7,0,0,0,T-shirt,377.43,3,338,1,1,1.7,929,1.6950195356356943,0.72,2.3239627592900822,4.777777777777778
S-10012,U-1012,P-1865,262,0.51,3,1,0,0,Watch,852.56,8,36,12,1,3.6,988,1.5514630950647839,1.0,4.965619918768353,5.137254901960785
S-10013,U-1013,P-1935,171,0.96,7,0,0,0,T-shirt,357.39,7,309,3,0,1.2,808,1.6050208829209145,0.7,1.606991740094038,1.78125
S-10014,U-1014,P-1100,280,0.3,5,1,0,0,Home & Living,11.27,4,266,8,0,3.4,718,0.04747461982391845,0.5599999999999999,4.472945723250311,9.333333333333334
S-10015,U-1015,P-1933,288,0.39,9,0,0,0,T-shirt,40.26,1,135,3,1,1.9,1052,0.1808056765617281,0.43999999999999995,2.644571434610911,7.384615384615385
S-10016,U-1016,P-1820,96,0.15,4,1,0,0,T-shirt,202.7,4,300,3,0,2.4,401,0.9103157138366192,0.5599999999999999,2.87829700253713,6.4
S-10017,U-1017,P-1352,18,0.59,8,0,0,0,T-shirt,331.09,1,256,7,0,3.6,515,1.4869088786096016,0.13999999999999999,4.497196871146725,0.3050847457627119
S-10018,U-1018,P-1622,59,0.15,0,1,0,0,Electronics,773.87,4,172,10,0,1.2,380,0.6979472934215986,0.5599999999999999,1.4262718500304081,3.933333333333333
S-10019,U-1019,P-1588,184,0.86,3,1,0,0,Shoes,382.61,7,410,14,0,4.7,497,1.704807735151272,0.7,5.837964072403174,2.13953488372093
S-10020,U-1020,P-1667,296,0.12,9,0,0,0,Electronics,1453.06,1,92,14,1,1.4,799,1.3105034362091668,0.43999999999999995,1.8716912837470194,24.666666666666668
S-10021,U-1021,P-1045,51,0.47,9,0,0,0,Home & Living,421.08,2,351,1,0,1.2,1077,1.7737899658789333,0.27999999999999997,1.675887060352546,1.0851063829787233
S-10022,U-1022,P-1317,239,0.53,4,1,0,0,Electronics,1983.14,4,84,7,1,4.8,836,1.7885784375620053,0.8599999999999999,6.460631107669896,4.509433962264151
S-10023,U-1023,P-1171,16,0.15,6,1,0,0,Shoes,54.93,7,368,4,0,3.9,2,0.24475337521721693,0.7,0.8569175851611257,1.0666666666666667
S-10024,U-1024,P-1651,130,0.51,2,1,0,0,Shoes,222.84,2,139,2,1,3.7,143,0.9929153856436305,0.58,3.6776618416862403,2.549019607843137
S-10025,U-1025,P-1542,99,0.26,4,0,0,0,Electronics,1239.57,2,103,14,1,3.9,394,1.1179584768845037,0.58,4.663530896622875,3.8076923076923075
S-10026,U-1026,P-1090,247,0.38,3,0,0,0,Home & Living,313.95,2,84,3,1,1.5,763,1.3225072665234425,0.58,1.9915703367499562,6.5
S-10027,U-1027,P-1488,41,0.86,1,1,0,0,Watch,114.94,3,42,14,0,2.7,18,0.20916436162469065,0.42,1.5899970487498778,0.47674418604651164
S-10028,U-1028,P-1940,151,0.22,2,0,0,0,Watch,65.84,6,190,11,1,1.8,254,0.119813655553938,1.0,1.9948548762570333,6.863636363636363
S-10029,U-1029,P-1230,114,0.22,5,1,1,1,Shoes,168.33,5,194,7,0,2.0,426,0.7500334179922471,0.7,2.42271360529145,5.181818181818182
S-10030,U-1030,P-1216,286,0.61,5,0,0,0,Watch,962.74,2,33,4,1,2.4,531,1.7519653515795603,0.58,3.0127888748839893,4.688524590163935
S-10031,U-1031,P-1865,74,0.23,6,1,1,0,Watch,852.56,8,36,12,1,3.6,988,1.5514630950647839,1.0,4.965619918768353,3.217391304347826
S-10032,U-1032,P-1285,97,0.45,0,0,0,0,Shoes,72.33,2,61,12,1,2.9,553,0.3222831172303168,0.58,3.6639555183134243,2.1555555555555554
S-10033,U-1033,P-1258,177,0.34,0,0,0,0,Watch,623.06,6,51,7,1,1.3,743,1.1338258844082107,1.0,1.719130669056604,5.205882352941177
S-10034,U-1034,P-1944,61,0.88,5,0,0,0,Electronics,1966.29,7,35,12,1,1.9,731,1.7733815545013438,1.0,2.5063965953052985,0.6931818181818182
