product_id,category,base_price,image_count,description_word_count,variant_count,has_size_chart,rating,review_count
P-1000,Watch,745.39,5,30,7,1,1.6,330
P-1001,Electronics,1242.12,8,140,6,1,4.9,805
P-1002,Shoes,99.09,5,170,12,1,3.1,747
P-1003,T-shirt,152.7,3,179,12,1,2.5,189
P-1004,Electronics,1968.14,1,140,5,1,3.7,840
P-1005,Shoes,474.95,4,23,2,1,2.2,564
P-1006,Shoes,345.27,7,437,13,1,1.1,205
P-1007,T-shirt,136.8,8,397,2,1,3.1,1129
P-1008,Watch,971.11,2,53,2,0,4.6,269
P-1009,Watch,359.06,8,246,2,0,4.3,216
P-1010,Watch,312.2,5,24,13,1,1.1,520
P-1011,T-shirt,107.37,8,72,11,1,3.8,418
P-1012,T-shirt,306.92,2,240,10,0,4.7,200
P-1013,Watch,110.38,7,71,8,1,3.9,725
P-1014,Electronics,827.56,7,140,1,0,3.2,766
P-1015,Electronics,912.33,2,389,13,0,1.1,742
P-1016,T-shirt,164.03,8,397,14,0,2.0,748
P-1017,Electronics,1891.42,7,196,3,1,4.5,681
P-1018,Home & Living,154.86,5,143,12,1,1.9,189
P-1019,T-shirt,143.34,3,130,4,1,4.4,709
P-1020,Electronics,522.0,3,243,12,0,4.8,1136
P-1021,T-shirt,134.42,4,304,2,0,2.2,951
P-1022,T-shirt,140.72,2,139,12,0,1.1,384
P-1023,Electronics,1108.78,2,169,6,1,3.4,202
P-1024,Electronics,1625.97,5,381,2,0,2.6,751
P-1025,T-shirt,83.85,3,335,13,0,3.4,954
P-1026,Watch,536.49,3,157,7,1,4.8,550
P-1027,Shoes,420.48,3,450,9,0,4.7,262
P-1028,Watch,983.06,4,69,1,0,5.0,253
P-1029,Watch,888.5,7,18,9,1,3.8,207
P-1030,Electronics,868.57,1,417,4,1,4.7,103
P-1031,Watch,403.67,1,108,9,0,2.1,877
P-1032,Shoes,247.95,3,217,13,1,1.7,800
P-1033,Home & Living,97.62,8,393,8,0,3.9,639
P-1034,T-shirt,275.84,3,380,6,1,2.0,37
P-1035,Home & Living,248.5,8,292,11,0,2.4,283
P-1036,T-shirt,105.67,5,313,3,1,1.1,1072
P-1037,T-shirt,497.33,6,55,5,0,2.5,1060
P-1038,Home & Living,219.81,5,104,3,1,4.4,190
P-1039,Home & Living,198.7,7,170,3,1,2.5,565
P-1040,Shoes,465.71,6,289,2,1,3.7,961
P-1041,Electronics,712.85,8,426,9,1,3.8,1062
P-1042,Home & Living,155.29,2,364,2,1,3.4,827
P-1043,Shoes,12.54,4,182,4,1,1.3,399
P-1044,Watch,76.24,2,331,7,1,1.1,574
P-1045,Home & Living,421.08,2,351,1,0,1.2,1077
P-1046,Electronics,1092.26,5,69,12,0,3.5,773
P-1047,Home & Living,105.25,6,56,3,1,1.6,655
P-1048,Home & Living,485.07,2,167,3,1,2.6,1081
P-1049,Shoes,22.42,5,327,7,0,3.8,1012
P-1050,T-shirt,94.91,1,248,2,0,3.2,559
