session_id,user_id,product_id,dwell_time_seconds,scroll_depth_pct,variant_clicks,reviews_expanded,added_to_cart,purchased
S-10000,U-1000,P-1423,99,0.24,5,1,0,0
S-10001,U-1001,P-1369,239,0.83,8,1,0,0
S-10002,U-1002,P-1057,38,0.21,6,1,1,1
S-10003,U-1003,P-1063,291,0.96,1,0,0,0
S-10004,U-1004,P-1349,76,0.91,6,0,0,0
S-10005,U-1005,P-1996,145,0.17,1,1,0,0
S-10006,U-1006,P-1026,275,0.9,9,0,0,0
S-10007,U-1007,P-1464,189,0.41,2,0,0,0
S-10008,U-1008,P-1980,83,0.38,2,1,0,0
S-10009,U-1009,P-1365,299,0.56,4,1,0,0
S-10010,U-1010,P-1043,112,0.93,3,1,0,0
S-10011,U-1011,P-1725,258,0.54,7,0,0,0
S-10012,U-1012,P-1865,262,0.51,3,1,0,0
S-10013,U-1013,P-1935,171,0.96,7,0,0,0
S-10014,U-1014,P-1100,280,0.3,5,1,0,0
S-10015,U-1015,P-1933,288,0.39,9,0,0,0
S-10016,U-1016,P-1820,96,0.15,4,1,0,0
S-10017,U-1017,P-1352,18,0.59,8,0,0,0
S-10018,U-1018,P-1622,59,0.15,0,1,0,0
S-10019,U-1019,P-1588,184,0.86,3,1,0,0
S-10020,U-1020,P-1667,296,0.12,9,0,0,0
S-10021,U-1021,P-1045,51,0.47,9,0,0,0
S-10022,U-1022,P-1317,239,0.53,4,1,0,0
S-10023,U-1023,P-1171,16,0.15,6,1,0,0
S-10024,U-1024,P-1651,130,0.51,2,1,0,0
S-10025,U-1025,P-1542,99,0.26,4,0,0,0
S-10026,U-1026,P-1090,247,0.38,3,0,0,0
S-10027,U-1027,P-1488,41,0.86,1,1,0,0
S-10028,U-1028,P-1940,151,0.22,2,0,0,0
S-10029,U-1029,P-1230,114,0.22,5,1,1,1
S-10030,U-1030,P-1216,286,0.61,5,0,0,0
S-10031,U-1031,P-1865,74,0.23,6,1,1,0
S-10032,U-1032,P-1285,97,0.45,0,0,0,0
S-10033,U-1033,P-1258,177,0.34,0,0,0,0
S-10034,U-1034,P-1944,61,0.88,5,0,0,0
S-10035,U-1035,P-1700,264,0.57,0,1,1,0
S-10036,U-1036,P-1917,130,0.36,0,0,0,0
S-10037,U-1037,P-1716,44,0.69,4,1,0,0
S-10038,U-1038,P-1505,242,0.28,2,1,0,0
S-10039,U-1039,P-1035,256,0.85,7,0,0,0
S-10040,U-1040,P-1465,262,0.66,3,1,0,0
S-10041,U-1041,P-1917,254,0.43,8,1,1,0
S-10042,U-1042,P-1829,39,0.4,5,1,0,0
S-10043,U-1043,P-1966,264,0.47,1,1,0,0
S-10044,U-1044,P-1214,93,0.48,5,1,0,0
S-10045,U-1045,P-1938,235,0.7,1,0,1,0
S-10046,U-1046,P-1337,265,0.38,4,1,0,0
S-10047,U-1047,P-1757,283,0.45,2,1,0,0
S-10048,U-1048,P-1148,58,0.96,5,0,0,0
S-10049,U-1049,P-1814,241,0.76,4,0,1,0
S-10050,U-1050,P-1116,249,0.71,4,1,0,0
S-10051,U-1051,P-1394,187,0.48,0,0,0,0
S-10052,U-1052,P-1798,61,0.87,9,1,0,0
S-10053,U-1053,P-1303,53,0.55,1,1,0,0
S-10054,U-1054,P-1574,15,0.16,9,1,1,1
S-10055,U-1055,P-1627,66,0.23,6,0,0,0
S-10056,U-1056,P-1879,209,0.97,4,1,0,0
S-10057,U-1057,P-1916,188,0.74,6,0,0,0
S-10058,U-1058,P-1672,273,0.28,0,0,0,0
S-10059,U-1059,P-1140,234,0.19,3,0,0,0
S-10060,U-1060,P-1679,265,0.25,5,0,0,0
S-10061,U-1061,P-1835,172,0.42,8,1,0,0
S-10062,U-1062,P-1818,227,0.31,1,1,0,0
S-10063,U-1063,P-1932,160,0.38,2,1,0,0
